plot,ff_layer,year,loi
50,Oi,2018,91.47381242
50,Oe+Oa,2018,83.04927751
80,Oi,2018,94.45220515
80,Oe+Oa,2018,67.32618343
90,Oi,2018,95.44405998
90,Oe+Oa,2018,70.56005895
100,Oi,2018,95.95066804
100,Oe+Oa,2018,85.61302682
110,Oi,2018,95.18553758
110,Oe+Oa,2018,79.49317739
134,Oi,2018,85.6792915
134,Oe+Oa,2018,66.58462704
160,Oi,2018,97.43044822
160,Oe+Oa,2018,73.75249501
166,Oi,2018,93.73513085
166,Oe+Oa,2018,70.69968111
180,Oi,2018,95.42168675
180,Oe+Oa,2018,64.44870566
190,Oi,2018,96.34122858
190,Oe+Oa,2018,78.3172147
195,Oi,2018,96.08235059
195,Oe+Oa,2018,79.06042963
230,Oi,2018,94.867113
230,Oe+Oa,2018,69.002849
